id,date1,date2,lon1,lat1,lon2,lat2,towlength,depth,temperature,strata
29708,1985-03-13T04:00:00Z,1985-03-13T05:04:00Z,-24.7916666666667,64.9375,-24.9416666666667,64.915,4,149.5,4,51
29808,1985-03-13T04:30:00Z,1985-03-13T05:37:00Z,-25.2386666666667,66.5501666666667,-25.1158333333333,66.5826666666667,3.9,404.5,1,88
30024,1985-03-13T05:06:00Z,1985-03-13T06:12:00Z,-14.7496666666667,66.636,-14.6015,66.6503333333333,4,180.5,3.5,57
29888,1985-03-13T05:15:00Z,1985-03-13T06:35:00Z,-26.625,65.6283333333333,-26.535,65.705,4.4,196.5,4.6,88
30154,1985-03-13T05:50:00Z,1985-03-13T06:55:00Z,-17.05,66.75,-17.1833333333333,66.8166666666667,4,225,3.2,38
29894,1985-03-13T05:55:00Z,1985-03-13T06:50:00Z,-15.1333333333333,64.1833333333333,-15.2666666666667,64.1333333333333,4,52,5.3,65
29707,1985-03-13T06:50:00Z,1985-03-13T07:50:00Z,-25.0858333333333,64.6861666666667,-25.2231666666667,64.6621666666667,4,203,4,21
30023,1985-03-13T07:20:00Z,1985-03-13T08:29:00Z,-14.8333333333333,66.548,-14.667,66.5493333333333,4,153.5,3.5,57
30153,1985-03-13T07:30:00Z,1985-03-13T08:40:00Z,-17.3,66.8333333333333,-17.3,66.9166666666667,4,229.5,3.3,38
29887,1985-03-13T07:39:00Z,1985-03-13T08:50:00Z,-26.7133333333333,65.7533333333333,-26.6866666666667,65.8226666666667,3.9,281.5,NA,88
29893,1985-03-13T07:50:00Z,1985-03-13T09:05:00Z,-15.25,64.0166666666667,-15.0833333333333,64,4,135.5,5.3,66
29706,1985-03-13T09:10:00Z,1985-03-13T10:10:00Z,-25.4693333333333,64.763,-25.6006666666667,64.7406666666667,4,187.5,4,51
29886,1985-03-13T09:30:00Z,1985-03-13T10:40:00Z,-26.7376666666667,65.8533333333333,-26.7356666666667,65.9266666666667,4.1,278,6.9,88
30152,1985-03-13T09:40:00Z,1985-03-13T10:50:00Z,-17.4333333333333,67,-17.3833333333333,67.0666666666667,4,247.5,3.4,38
30022,1985-03-13T09:52:00Z,1985-03-13T10:57:00Z,-14.2446666666667,66.5691666666667,-14.2295,66.6323333333333,4,166.5,NA,57
29705,1985-03-13T12:10:00Z,1985-03-13T13:05:00Z,-25.999,64.535,-25.9918333333333,64.5995,3.7,214,4,21
30151,1985-03-13T12:55:00Z,1985-03-13T14:00:00Z,-18,66.9166666666667,-18,66.85,4,387,0.7,40
30015,1985-03-13T13:00:00Z,1985-03-13T14:15:00Z,-16.4166666666667,63.8166666666667,-16.3666666666667,63.75,4,71.5,5.6,65
29885,1985-03-13T14:00:00Z,1985-03-13T15:15:00Z,-26.7743333333333,65.9966666666667,-26.84,65.9353333333333,4,398.5,6.7,88
29704,1985-03-13T14:00:00Z,1985-03-13T15:05:00Z,-25.9266666666667,64.6753333333333,-25.7793333333333,64.7006666666667,4,221,4,21
30014,1985-03-13T14:44:00Z,1985-03-13T15:55:00Z,-16.4666666666667,63.75,-16.5833333333333,63.7666666666667,4,69.5,5.6,65
30021,1985-03-13T15:14:00Z,1985-03-13T16:17:00Z,-14.2635,66.8346666666667,-14.2161666666667,66.8988333333333,4,219.5,3.4,58
30150,1985-03-13T15:40:00Z,1985-03-13T16:35:00Z,-17.9,66.6666666666667,-18,66.65,3.5,229.5,3.2,39
29703,1985-03-13T15:50:00Z,1985-03-13T16:50:00Z,-25.7516666666667,64.773,-25.8016666666667,64.84,4,193.5,4,51
29884,1985-03-13T16:30:00Z,1985-03-13T17:30:00Z,-26.5433333333333,65.9183333333333,-26.4645,65.9796666666667,4,293.5,6.6,88
30020,1985-03-13T17:45:00Z,1985-03-13T18:48:00Z,-13.786,66.9653333333333,-13.6976666666667,66.9101666666667,4,282.5,3.4,58
30013,1985-03-13T17:50:00Z,1985-03-13T18:50:00Z,-16.8833333333333,63.5333333333333,-17,63.5833333333333,4.2,182,5.6,5
29702,1985-03-13T18:05:00Z,1985-03-13T19:05:00Z,-25.4916666666667,64.9226666666667,-25.6701666666667,64.9336666666667,4,170,4,51
29883,1985-03-13T18:40:00Z,1985-03-13T19:45:00Z,-26.5053333333333,65.8783333333333,-26.3515,65.8411666666667,4,282.5,6.7,88
30149,1985-03-13T18:50:00Z,1985-03-13T19:10:00Z,-17.6,66.5,-17.5833333333333,66.5,4,324,NA,40
30019,1985-03-13T19:28:00Z,1985-03-13T20:37:00Z,-13.5685,66.8753333333333,-13.4428333333333,66.8255,4,277.5,2.2,58
30012,1985-03-13T19:35:00Z,1985-03-13T20:35:00Z,-17.1833333333333,63.5333333333333,-17.2833333333333,63.5,4.2,144.5,5.5,66
29882,1985-03-13T20:35:00Z,1985-03-13T21:35:00Z,-26.1551666666667,65.8316666666667,-25.9916666666667,65.8083333333333,4,240.5,6.7,88
30148,1985-03-13T20:45:00Z,1985-03-13T21:55:00Z,-17.6,66.45,-17.4333333333333,66.45,4,270,NA,55
30011,1985-03-13T21:35:00Z,1985-03-13T22:35:00Z,-17.1333333333333,63.5666666666667,-17.2166666666667,63.6166666666667,4.1,173,5.5,66
29701,1985-03-13T21:45:00Z,1985-03-13T22:40:00Z,-26.4446666666667,64.7413333333333,-26.4803333333333,64.808,4,198,4,51
29881,1985-03-13T22:45:00Z,1985-03-13T23:45:00Z,-26.0345,65.9436666666667,-26.0425,66.0103333333333,4,207,6.4,84
30018,1985-03-13T22:45:00Z,1985-03-13T23:15:00Z,-13.8146666666667,66.8215,-13.7146666666667,66.7696666666667,4,213.5,NA,58
30147,1985-03-13T23:30:00Z,1985-03-13T00:25:00Z,-17.3166666666667,66.25,-17.3666666666667,66.1833333333333,4,148.5,3.6,53
29700,1985-03-13T23:40:00Z,1985-03-13T00:30:00Z,-26.2485,64.8588333333333,-26.2471666666667,64.9203333333333,3.6,178.5,NA,51
30010,1985-03-14T00:05:00Z,1985-03-14T01:00:00Z,-17.6666666666667,63.6833333333333,-17.7666666666667,63.6333333333333,4,39.5,5.4,65
29880,1985-03-14T00:45:00Z,1985-03-14T01:25:00Z,-26.2833333333333,66,-26.1358333333333,65.9733333333333,2.5,252.5,6.7,88
30017,1985-03-14T01:07:00Z,1985-03-14T02:14:00Z,-13.6498333333333,66.6335,-13.681,66.5666666666667,4,171.5,NA,57
29699,1985-03-14T01:10:00Z,1985-03-14T02:20:00Z,-26.2116666666667,64.9806666666667,-26.3455,64.9435,4,171,NA,51
30146,1985-03-14T01:20:00Z,1985-03-14T02:20:00Z,-17.5333333333333,66.1333333333333,-17.4333333333333,66.1916666666667,4,175,3.5,54
30009,1985-03-14T02:15:00Z,1985-03-14T03:20:00Z,-17.8833333333333,63.4666666666667,-17.7833333333333,63.4166666666667,4,152.5,5.7,66
29879,1985-03-14T02:37:00Z,1985-03-14T03:37:00Z,-25.9083333333333,65.9833333333333,-25.7393333333333,65.9841666666667,3.7,186.5,6.1,84
29698,1985-03-14T02:50:00Z,1985-03-14T03:50:00Z,-26.3586666666667,64.944,-26.3883333333333,65.0083333333333,4,171,NA,51
30145,1985-03-14T03:00:00Z,1985-03-14T04:05:00Z,-17.5,66.25,-17.5,66.3166666666667,4,225,3.4,55
30016,1985-03-14T03:07:00Z,1985-03-14T03:42:00Z,-13.4506666666667,66.6168333333333,-13.367,66.6248333333333,2.9,203.5,NA,58
29878,1985-03-14T04:50:00Z,1985-03-14T06:00:00Z,-25.9325,65.9318333333333,-25.748,65.9318333333333,4.5,198.5,6,84
30144,1985-03-14T04:55:00Z,1985-03-14T06:00:00Z,-17.7,66.3333333333333,-17.7833333333333,66.4,4,178,3.8,54
30008,1985-03-14T05:00:00Z,1985-03-14T06:00:00Z,-18.3333333333333,63.4166666666667,-18.4833333333333,63.4,4,27.5,5.5,65
29697,1985-03-14T05:00:00Z,1985-03-14T06:10:00Z,-26.6413333333333,64.9786666666667,-26.7778333333333,64.9531666666667,4,206.5,NA,51
29877,1985-03-14T06:53:00Z,1985-03-14T07:56:00Z,-25.5483333333333,65.917,-25.5495,65.85,4,147,5.6,84
30143,1985-03-14T07:20:00Z,1985-03-14T08:25:00Z,-17.75,66.2333333333333,-17.7166666666667,66.1666666666667,4,189,3.7,54
29696,1985-03-14T08:25:00Z,1985-03-14T09:20:00Z,-27.245,64.9248333333333,-27.2115,64.8563333333333,4,394,NA,21
30007,1985-03-14T10:10:00Z,1985-03-14T11:10:00Z,-18.8666666666667,63.3333333333333,-18.9666666666667,63.3166666666667,3.5,97,5.4,65
29876,1985-03-14T11:15:00Z,1985-03-14T12:17:00Z,-25.7613333333333,65.8541666666667,-25.8528333333333,65.788,4,202.5,6.1,88
30142,1985-03-14T11:30:00Z,1985-03-14T12:25:00Z,-18.1,66.5833333333333,-18.25,66.6166666666667,4,94.5,3.7,39
30006,1985-03-14T11:50:00Z,1985-03-14T12:17:00Z,-18.8166666666667,63.3666666666667,-18.7666666666667,63.3666666666667,1.7,25.5,5.3,65
30137,1985-03-14T12:25:00Z,1985-03-14T13:30:00Z,-13.3076666666667,66.55,-13.175,66.5905,4,268.5,NA,58
29695,1985-03-14T13:00:00Z,1985-03-14T14:00:00Z,-26.2696666666667,64.4546666666667,-26.1968333333333,64.4141666666667,4,291,NA,21
30141,1985-03-14T13:30:00Z,1985-03-14T14:30:00Z,-18,66.6333333333333,-18.15,66.65,4,171,3.6,39
29875,1985-03-14T13:30:00Z,1985-03-14T14:35:00Z,-25.6678333333333,65.7998333333333,-25.7811666666667,65.75,4,236,6.1,88
30136,1985-03-14T14:30:00Z,1985-03-14T15:38:00Z,-13.1018333333333,66.6143333333333,-13.083,66.6795,4,228,NA,58
30140,1985-03-14T15:20:00Z,1985-03-14T16:35:00Z,-18.35,66.7,-18.25,66.75,4,252,3.9,39
29694,1985-03-14T15:35:00Z,1985-03-14T16:35:00Z,-26.4266666666667,64.4246666666667,-26.348,64.3673333333333,4,308,NA,21
29874,1985-03-14T16:15:00Z,1985-03-14T17:25:00Z,-25.3093333333333,65.7323333333333,-25.485,65.7116666666667,4,179,5.5,84
30135,1985-03-14T16:48:00Z,1985-03-14T17:59:00Z,-13.2533333333333,66.7495,-13.0813333333333,66.7556666666667,4,218,NA,58
