"","sample.id","length","age","sex","maturity","ungutted","gutted","liver","gonad"
"308",266238,58,4,NA,NA,1762,NA,NA,NA
"309",325163,38,3,"Males","1",484,440,15,NA
"310",162014,87,7,"Males","2",5980,4616,401,727
"311",267944,31,2,"Females","1",254,223,7,NA
"312",118664,44,4,"Males","1",656,611,NA,NA
"313",195491,59,3,"Males","4",1620,1530,81,NA
"314",187989,36,2,"Males","1",403,369,10,NA
"315",159189,41,NA,NA,NA,780,NA,NA,NA
"316",159199,49,NA,NA,NA,1413,NA,NA,NA
"317",67383,69,6,"Males","2",3196,2608,326,94
"318",254133,80,7,"Males","5",4582,4054,101,NA
"319",70478,50,3,"Females","1",988,864,NA,NA
"320",294210,67,5,"Females","1",2787,2498,110,NA
"321",187002,102,12,"Females","22",11180,8255,843,1343
"322",268101,65,5,"Females","1",2324,2009,139,NA
"323",345005,81,7,"Females",NA,5104,4578,121,NA
"324",73429,47,3,"Females","1",1113,868,81,NA
"325",67455,38,3,"Males","1",504,441,30,NA
"326",100884,90,NA,"Males","2",6485,5222,140,935
"327",205066,49,NA,"Males","1",1382,1059,35,NA
"328",95902,99,7,"Males","3",11150,8890,524,1189
"329",133055,96,NA,"Males","2",9525,7250,643,1343
"330",67330,108,10,"Females","2",13740,11335,675,1306
"331",420670,30,2,"Males","1",229,211,3,NA
"332",120726,95,NA,"Females","2",7060,5712,261,784
"333",182338,113,10,NA,NA,14430,NA,NA,NA
"334",334422,39,3,"Males","1",595,516,6,NA
"335",71642,64,5,"Males","4",2199,1928,112,NA
"336",408613,72,5,"Females","1",3600,3255,75,NA
"337",303416,70,5,"Males","4",3494,2983,76,NA
"338",254098,77,6,"Females","4",4258,3798,109,NA
"339",210459,66,6,"Males","3",2301,2008,110,NA
"340",67486,83,5,"Females","1",5950,4936,280,NA
"341",268888,46,3,"Males","1",748,661,41,NA
"342",321182,49,4,"Females","1",1131.9,996,41,NA
"343",185209,120,NA,"Males","3",22160,18530,766,2189
"344",321838,79,6,"Females","1",3656,3350,128,NA
"345",312269,21,1,"Males","1",82,72,4,NA
"346",435953,46,3,"Females","1",868,726,21,NA
"347",73224,59,6,"Males","2",1666,1477,78,21
"348",340088,117,12,"Females","4",14395,12645,350,NA
"349",68071,72,6,"Males","3",2907,2492,92,196
"350",357539,103,8,"Females","4",8635,7375,475,NA
"351",406701,80,5,"Females","1",3908,3342,259,NA
"352",302235,88,9,"Females","3",7265,4702,413,1135.9
"353",399633,91,7,"Females","2",8175,6310,695,804
"354",426889,108,12,"Males","3",13225,10150,831,1715
"355",335889,93,9,"Males","3",7880,6655,296,NA
"356",256442,80,7,"Males","3",5622,4496,126,587
"357",411045,45,4,"Females","1",817,720,49,NA
"358",425250,25,2,"Males","1",136,124,3,NA
"359",106974,52,3,"Females","1",1454,1330,NA,NA
"360",294935,31,2,"Males","1",233,215,8,NA
"361",420631,66,4,"Females","1",2555,2180,168,NA
"362",357542,81,6,"Males","4",5340,4033,513,NA
"363",120323,71,7,"Males","2",3150,2600,NA,NA
"364",180731,61,6,"Females","5",1784,1644,NA,NA
"365",380931,55,3,"Females","1",1599,1449,24,NA
"366",435917,62,4,"Males","1",2106,1951,58,NA
"367",374170,97,8,"Females","4",8135,6620,689.9,101
"368",286151,93,11,"Males","2",7310,6385,291,144
"369",311286,77,7,"Females","2",3548,3130,136,32
"370",17761,60,NA,"Females","1",1800,1600,NA,NA
"371",100971,60,NA,"Males","3",1980,1650,85,140
"372",100403,85,8,"Females","1",4410,4022,49,NA
"373",159167,46,NA,NA,NA,1014,NA,NA,NA
"374",87415,47,5,"Females","1",892,773,32,NA
"375",318107,93,9,"Males","3",8490,7345,375,NA
"376",214741,7.3,NA,NA,NA,2.7,NA,NA,NA
"377",373702,88,NA,NA,NA,5400,NA,NA,NA
"378",391212,71,6,"Females","1",2972,2603,56,NA
"379",349007,88,6,"Females","4",7025,6010,423,NA
"380",185679,54,5,"Males","3",1339,1164,29,66
"381",350123,59,5,"Males","3",1566,1328,59,NA
"382",410913,27,2,"Females","1",159,147,3,NA
"383",85918,48,3,"Females","1",1046,977,15,NA
"384",268101,65,5,"Females","1",2277,1918,147,NA
"385",124781,95,9,"Males","3",6010,5350,137,NA
"386",367365,80,8,"Females","3",5980,4202,536,1002
"387",104156,109,9,"Females","2",13810,10040,839,NA
"388",394790,89,7,"Females","2",6915,5519.9,596,510
"389",312509,18,1,NA,NA,42.9,NA,NA,NA
"390",404721,52,4,"Males","1",1033,937,35,NA
"391",101307,95,8,"Females","22",9645,6780,744,1781
"392",323718,65,5,"Females","4",2215,1910,NA,NA
"393",86960,49,4,"Males","1",944,859,NA,NA
"394",319987,85,8,"Males","2",4958,4148,142.9,413
"395",187598,91,8,"Females","1",6530,4842,182,NA
"396",17820,91,NA,"Males","2",6120,5000,NA,NA
"397",127766,83,NA,"Females","1",5586,4880,351,NA
"398",415551,55,5,NA,NA,1676,NA,NA,NA
"399",415520,66,5,"Males","4",3604,3046,247,NA
"400",405695,41,3,"Males",NA,730,NA,NA,NA
"401",189618,96,8,NA,NA,9660,NA,NA,NA
"402",119820,65,6,"Females","1",2255,1955,143,NA
"403",192283,5.1,NA,NA,NA,0.9,NA,NA,NA
"404",365166,89,8,"Females","2",6910,5660,687,242
"405",404227,48,4,NA,NA,1055,NA,NA,NA
"406",159173,59,4,"Males","1",2131,1662,NA,NA
"407",316066,36,3,"Females","1",354,326,10,NA
"408",63086,81,8,"Males","2",5294,3960,311,625
"409",383249,88,8,"Females","4",6410,5565,455,NA
"410",323164,53,NA,"Males","4",1119,983,19,NA
"411",180918,63,5,"Females","1",2226,1848,204,NA
"412",253558,71,7,"Males","1",3120,2911,61,NA
"413",67145,54,5,"Females","2",1340,1093,117,67
"414",258085,84,7,"Females","2",4648,3938,210,309
"415",89029,94,NA,"Females","2",7580,5888,353,939
"416",379521,84,8,"Males","2",5305,4394,285,417
"417",180916,69,5,"Females","5",2524,2125,208,NA
"418",96380,39,2,"Females","1",477,432,17,NA
"419",364811,66,6,"Females","1",2746,2198,222,NA
"420",74430,81,NA,"Females","22",3972,3270,230,275
"421",379109,37,3,"Males","1",482,397,25,NA
"422",394993,59,4,"Females","1",1721,1510,111,NA
"423",303591,70,6,"Females","1",3536,2943,142.9,NA
"424",406391,55,3,"Males","1",1450,1315,40,NA
"425",192307,5.3,NA,NA,NA,0.9,NA,NA,NA
"426",245709,60,NA,"Males","1",2207,2003,59,NA
"427",100135,63,5,"Females","1",2005,1728,150,NA
"428",74050,75,6,"Males","3",3928,3408,136,230
"429",124108,111,11,"Females","4",12560,9920,511,NA
"430",430556,97,10,"Males","3",7725,6720,375,300
"431",17742,63,NA,NA,NA,2300,2100,NA,NA
"432",86952,51,4,"Males","1",1156,951,87,NA
"433",300807,94,8,"Males","2",6930,5558,277,823
"434",390544,37,3,"Males","1",367,335,6,NA
"435",180276,27,2,"Females","1",139,123,3,NA
"436",348994,70,6,"Females","22",3082,2449,244,388
"437",159201,48,NA,NA,NA,1031,NA,NA,NA
"438",86505,85,8,"Females","4",5698,4744,107,NA
"439",119108,88,8,"Males","2",6720,5456,460,543
"440",367442,97,11,"Males","3",9200,6970,588,1336
"441",205106,50,NA,"Females","1",1103,937,38,NA
"442",100577,95,8,"Females","2",9730,7965,NA,NA
"443",268452,52,5,"Females","1",1417,1191,122,NA
"444",97645,56,4,"Females","1",1641,1369,82,NA
"445",387942,20,1,"Females","1",55,51,1,NA
"446",183946,73,5,"Females","22",4446,3570,175,459
"447",435936,84,6,"Males","4",5370,4042,306,58
"448",75173,83,7,"Males","3",5228,4700,NA,NA
"449",175005,54,3,"Males","1",1219,1071,45,NA
"450",411027,29,3,"Males","1",280,212,13,NA
"451",158403,54,3,"Males","1",1340,NA,NA,NA
"452",435496,97,NA,"Females","4",8115,6325,333,NA
"453",389981,45,3,"Females","1",675,619,8,NA
"454",17882,76,NA,"Females","2",5065,3776,NA,NA
"455",316069,36,3,"Females","1",378,328,15,NA
"456",68060,113,7,"Males","3",14935,12625,661,1184
"457",220055,60,4,"Males","5",2010,1607,166,NA
"458",276041,55,NA,"Males","1",1625,1288,93,NA
"459",201285,62,NA,NA,NA,2240,1991,127,NA
"460",425666,61,6,"Males","2",2395,1775,205,335
"461",96402,90,9,"Females","4",6075,4990,276,NA
"462",63490,102,6,"Males","3",11925,9300,583,1532
"463",74185,124,11,"Males","3",22090,17850,1147,2433
"464",412461,82,7,"Males","3",5255,4050,230,770
"465",267967,49,3,"Females","1",952,833,19,NA
"466",75468,67,5,"Females","4",2973,2676,NA,NA
"467",127802,91,NA,"Males","3",8420,6445,392,1404
"468",25700,69,5,"Females","2",3713,2754,NA,NA
"469",120642,110,NA,"Females","2",14095,11435,630,1074
"470",104117,98,8,"Males","3",11565,8405,306,NA
"471",325249,66,NA,"Females","1",2196,1900,91,NA
"472",340028,62,5,"Females","4",1878,1700,87,NA
"473",210150,92,9,"Males","3",6945,5540,245,908
"474",186913,88,9,"Females","22",5986,4462,10,863
"475",201217,46,4,"Females","1",652,579,34,NA
"476",263566,71,NA,"Males","4",2758,2239,129,NA
"477",209976,78,8,"Females","2",4142,3410,254,337
"478",406700,106,11,"Females","4",11905,8965,1540,243
"479",300475,59,5,"Females","1",2100,1816,95,NA
"480",420971,108,10,"Females","2",14605,12490,1035,218
"481",300725,55,5,"Females","1",1553,1377,48,NA
"482",124907,76,6,"Males","3",3742,3140,207,NA
"483",129505,78,NA,"Males","3",3460,3066,134,75
"484",206884,66,6,"Males","3",2267,1770,162,289
"485",390719,69,NA,"Males",NA,2871,2557,173.9,NA
"486",162574,53,4,"Females","1",1420,1136,70,NA
"487",429975,71,6,"Females","4",3174,2471,258,NA
"488",85080,67,5,"Males","2",2783,2245,NA,NA
"489",333857,95,8,"Females","2",9955,7305,660,1520
"490",120766,84,7,"Females","22",4576,3440,123,612
"491",385703,60,3,"Females","1",2450,2245,84,NA
"492",56587,51,4,"Females","1",1161,942,132,NA
"493",104502,97,8,"Females","1",10010,8260,688,NA
"494",359849,66,6,"Females",NA,3140,2624,46,NA
"495",96470,68,5,"Males","1",2806,2518,115,NA
"496",140928,38,3,"Males","1",441,390,18,NA
"497",173859,61,4,"Males","4",1893,1627,136,NA
"498",345677,43,4,"Males","1",678,552,26,NA
"499",209192,74,6,"Females","32",3624,3002,75,NA
"500",74082,97,9,"Males","3",8630,6730,419,1220
"501",161327,39,3,"Males","1",464,420,18,NA
"502",411020,33,3,"Males","1",266,231,14,NA
"503",406710,60,4,"Females","1",1789,1552,76,NA
"504",316265,67,6,"Females","1",3080,2400.9,440,NA
"505",214669,6.5,NA,NA,NA,2.2,NA,NA,NA
"506",73692,120,14,"Females","2",19460,14500,1424,1981
"507",89033,68,5,"Females","1",3224,2502,110,NA
"508",56643,47,4,"Females","1",905,757,88,NA
"509",229738,55,5,"Males","1",1559,1292,78,NA
"510",335889,109,10,"Males","3",11895,10390,593,NA
"511",86043,76,6,"Females","1",4002,3714,NA,NA
"512",62589,145,17,"Females","2",29580,22020,1667,3154
"513",365169,82,8,"Females","2",5692,4546,589,180
"514",254248,34,3,"Females","1",344,296,8,NA
"515",64377,60,6,"Males","1",1971,1658,83,NA
"516",407659,67,6,NA,NA,3162,NA,NA,NA
"517",63768,68,5,"Males","3",2663,2249,96,213
"518",300767,51,4,"Females","1",1084,946,73,NA
"519",83775,58,4,"Females","1",1510,1399,NA,NA
"520",243659,64,NA,NA,NA,2172,1841,NA,NA
"521",268475,72,6,"Males","1",2875,2660,42.9,NA
"522",246444,64,5,"Males","1",2186,1842,115,NA
"523",415492,69,6,"Males","4",2708,2389,51,NA
