WoRMS_AphiaID_Valid,ScientificName_WoRMS
127301,Polymetme thaeocoryla
126580,Benthosema glaciale
103483,Ascidia
126463,Bathygadus melanobranchus
126842,Kali macrura
126865,Nesiarchus nasutus
127423,Neocyttus helgae
126749,Searsia koefoedi
126181,Melamphaes
105866,Bathyraja pallida
126638,Aldrovandia phalacra
127422,Allocyttus verrucosus
123430,Spatangus
124661,Pseudothyone raphanus
107726,Calocaris macandreae
141595,Angulus tenuis
141905,Velutina velutina
126180,Trigla
126131,Pegusa
154461,Trigloporus
106733,Galatheidae
215,Ostreidae
19494,Hydroidolina
150672,Pentapora foliacea
150629,Echiichthys
110735,Cellariidae
126178,Chelidonichthys
136112,Rissoides
574582,Philine quadripartita
150636,Eutrigla
158351,Pandalus propinqvus
110783,Alcyonidiidae
125073,Amphiura chiajei
243,Veneridae
139951,Diodora graeca
125161,Asterias rubens
103791,Molgula occulta
117870,Abietinaria abietina
138961,Calyptraea chinensis
141741,Trivia arctica
141906,Callista chione
105837,Cetorhinus maximus
143755,Laminariaceae
141753,Calliostoma granulatum
125134,Ophiothrix luetkeni
125131,Asteria cuvieri
510534,Echinoida
100653,Actiniidae
150534,Antalis entalis
100805,Actinia fragacea
106888,Goneplax
135299,Rhizostoma pulmo
110911,Flustra
107032,Palaemon
140656,Crassostrea gigas
1248,Ctenophora
158417,Hemigrapsus sanguineus
151743,Gobioidei
NULL,Plantae
NULL,Plantae
107479,Alpheus macrocheles
131673,Polymastiidae
132159,Alcyonium glomeratum
139410,Corbula gibba
134057,Pachymatisma johnstonia
107420,Pilumnus spinifer
69,Ischnochitonidae
103450,Styelidae
103435,Phlebobranchia
129714,Thelepus
110842,Dendrobeania
1267,Cnidaria
140640,Onchidoris muricata
124933,Ophiura robusta
NULL,Plantae
NULL,Plantae
NULL,Plantae
1082,Cirripedia
123349,Antedon
129914,Chaetopterus variopedatus
160783,Aporocidaris incerta
NULL,Plantae
NULL,Plantae
105832,Heptranchias perlo
118451,Saduria
145547,Fucus spiralis
138590,Gibbula
107386,Liocarcinus corrugatus
123184,Stichopodidae
140687,Chlamys opercularis
106926,Macropipus
342418,Walvisteuthis virilis
129155,Ampharete
NULL,Plantae
138709,Aeolidia papillosa
131495,Lanice conchilega
138963,Crepidula fornicata
106204,Scalpellum scalpellum
106905,Inachus
160539,Ensis magnus
124160,Solaster endeca
166307,Cladocroce ventilabrum
132833,Haliclona (Haliclona) oculata
134687,Nymphon gracile
128539,Virgularia mirabilis
107649,Pandalus borealis
141436,Abra prismatica
140710,Palliolum tigerinum
157933,Ectopleura larynx
106148,Dosima fascicularis
138984,Capulus ungaricus
124635,Leptopentacta elongata
103862,Botryllus schlosseri
123908,Psilaster andromeda
140669,Simnia patula
110377,Echiurus echiurus
140870,Gari fervensis
101002,Sagartiogeton undatus
138482,Sepietta
103441,Polyclinidae
130866,Sabellaria alveolata
103929,Styela clava
141450,Sepietta neglecta
107418,Pilumnus hirtellus
140732,Ensis directus
342204,Sepiola pfefferi
107150,Galathea intermedia
124085,Pseudarchaster parelii
103484,Ascidiella
107400,Portumnus latipes
117302,Lytocarpia myriophyllum
137713,Troschelia
123276,Henricia
135302,Cyanea lamarckii
140820,Pleurobranchus membranaceus
117258,Tubularia
111448,Reteporella beaniana
107155,Galathea strigosa
1648,Sipunculidae
135220,Scyphozoa
1762,Nudibranchia
138903,Colus jeffreysianus
103529,Botryllus
124951,Asteronyx loveni
140685,Patella vulgata
138648,Venus
140416,Rapana venosa
139604,Donax vittatus
106386,Pleurobrachia pileus
106087,Lepas
122666,Amphiporus lactifloreus
139761,Erato voluta
126907,Lesueurigobius suerii
105762,Dipturus
128506,Funiculina quadrangularis
137704,Colus
273573,Symphodus roissali
55,Polyplacophora
107394,Liocarcinus vernalis
129845,Laetmonice hystrix
140405,Ocenebra erinaceus
106674,Caridea
152378,Thracia phaseolina
107644,Heterocarpus ensifer
127240,Pontinus kuhlii
141115,Ranella olearium
445590,Adamsia palliata
124331,Centrostephanus longispinus
126287,Gnathophis mystax
125331,Alcyonium acaule
139688,Abralia veranyi
154271,Abramis
154281,Abramis brama
138992,Acanthocardia echinata
126957,Acantholabrus palloni
159441,Acentronura
126279,Acipenser sturio
125424,Acipenseridae
1360,Actiniaria
100931,Adamsia carciniopados
107549,Aegaeon lacazei
140687,Aequipecten opercularis
126144,Agonus
127190,Agonus cataphractus
154285,Alburnus alburnus
111600,Alcyonidium gelatinosum
125284,Alcyonium
125333,Alcyonium digitatum
126682,Alepocephalus bairdii
138138,Alloteuthis
153131,Alloteuthis subulata
125715,Alosa
416357,Alosa agone
126413,Alosa alosa
126415,Alosa fallax
126415,Alosa fallax
106978,Alpheus
105865,Amblyraja radiata
125909,Ammodytes
126751,Ammodytes marinus
126752,Ammodytes tobianus
125516,Ammodytidae
107218,Anapagurus laevis 
125517,Anarhichadidae
125912,Anarhichas
126757,Anarhichas denticulatus
126758,Anarhichas lupus
126759,Anarhichas minor
279605,Anarrhichthys ocellatus
279605,Anarrhichthys ocellatus
125620,Anguilla
126281,Anguilla anguilla
125425,Anguillidae
138748,Anomia ephippium
123985,Anseropoda placenta
124201,Antedon bifida
127031,Anthias anthias
127085,Aphanopus carbo
126868,Aphia minuta
129840,Aphrodita aculeata
126510,Apletodon dentatus
126510,Apletodon dentatus
138760,Aporrhais pespelecani
138761,Aporrhais serresianus
138802,Arctica islandica
125885,Argentina
125885,Argentina
126715,Argentina silus
126716,Argentina sphyraena
125508,Argentinidae
126196,Argyropelecus
127306,Argyropelecus aculeatus
127309,Argyropelecus hemigymnus
