"whale.id","date.caught","lon","lat","area","length","weight","age","sex","maturity","stomach.volume","stomach.weight","year"
1,"2004-06-10 22:00:00",-21.4235,65.6618333333333,"North",780,NA,11.3,"Female","pregnant",58,31.9,2004
690,"2004-06-15 17:00:00",-21.3918333333333,65.6535,"North",793,NA,NA,"Female","pregnant",90,36.29,2004
926,"2004-06-22 01:00:00",-19.8133333333333,66.5116666666667,"North",858,NA,15.5,"Female","pregnant",24,9.42,2004
1333,"2003-09-30 16:00:00",-21.575,65.6733333333333,"North",567,NA,7.2,"Male","immature",25,3.64,2003
1334,"2003-09-25 15:00:00",-15.6116666666667,66.29,"North",774,NA,12.3,"Female","immature",85,5.51,2003
1335,"2003-09-16 16:00:00",-18.67,66.1783333333333,"North",526,NA,9.6,"Female","immature",18,1.167,2003
1336,"2003-09-12 17:00:00",-21.455,65.6633333333333,"North",809,NA,17.3,"Female","pregnant",200,99,2003
1338,"2003-09-09 12:00:00",-22.75,66.1,"North",820,NA,13.8,"Female","pregnant",111,64.27,2003
1339,"2003-08-31 13:00:00",-17.4983333333333,66.6,"North",697,NA,12.2,"Male","pubertal",8,0.801,2003
1341,"2003-08-30 17:00:00",-14.6583333333333,66.2083333333333,"North",777,NA,15.4,"Male","mature",25,1.424,2003
1342,"2003-08-29 12:00:00",-14.6633333333333,66.255,"North",739,NA,16.5,"Male","mature",38,0.7575,2003
1343,"2003-08-28 19:00:00",-15.75,66.45,"North",542,NA,NA,"Female","immature",6,6,2003
1344,"2003-08-26 16:00:00",-19.2816666666667,66.17,"North",508,NA,NA,"Male","immature",11,1,2003
1345,"2003-08-25 15:00:00",-19.6,65.9166666666667,"North",754,NA,9.8,"Male","mature",100,1.14,2003
1346,"2003-08-23 09:00:00",-22.8033333333333,66.0666666666667,"North",797,NA,NA,"Female","pregnant",50,16.75,2003
1347,"2003-08-20 08:00:00",-21.2266666666667,66.0116666666667,"North",802,NA,NA,"Male","mature",0,1.212,2003
1430,"2004-06-22 09:00:00",-19.8158333333333,66.5013333333333,"North",840,NA,15.9,"Female","pregnant",10,7.9,2004
1432,"2004-06-26 05:00:00",-19.5866666666667,65.8833333333333,"North",761,NA,14,"Female","pregnant",64,24.4736842105263,2004
1434,"2004-07-04 16:00:00",-21.05,65.5,"North",819,NA,16.6,"Female","anoestrous",50,15.56625,2004
1435,"2004-06-04 19:00:00",-22.5166666666667,64.6166666666667,"South",836,NA,46.8,"Male","mature",15,4.9,2004
1437,"2004-06-15 13:00:00",-22.95,64.25,"South",764,NA,9.9,"Male","mature",30,7.91666666666667,2004
1439,"2004-06-08 07:00:00",-22.75,64.65,"South",774,4620,10.9,"Female","pregnant",6,1.65,2004
1440,"2004-06-16 11:00:00",-23.4,64.1833333333333,"South",778,NA,25.3,"Male","mature",54,7.91666666666667,2004
1441,"2004-06-18 14:00:00",-23.0666666666667,63.9833333333333,"South",716,NA,28.2,"Male","mature",26,0.04,2004
1442,"2004-06-20 16:00:00",-23.5166666666667,64.4,"South",727,NA,10.3,"Male","mature",42,6.494,2004
1443,"2004-06-22 17:00:00",-23.1833333333333,63.8166666666667,"South",813,NA,39.7,"Male","mature",0,0,2004
1444,"2004-06-28 08:00:00",-22.9666666666667,64.1666666666667,"South",684,NA,6.2,"Female","immature",26,2.57,2004
1445,"2004-07-03 00:00:00",-16.9501666666667,63.6835,"South",737,NA,25.4,"Male","mature",120,75.1875,2004
1446,"2004-07-03 12:00:00",-16.5333333333333,63.7833333333333,"South",792,NA,16.2,"Male","mature",0,3.729,2004
1447,"2004-07-04 11:00:00",-14.8833333333333,64.2,"South",853,NA,12.1,"Female","pregnant",0,0.105,2004
1449,"2004-07-05 05:00:00",-16.5666666666667,63.8,"South",852,NA,25,"Female","pregnant",5,0,2004
1451,"2004-06-09 19:00:00",-16.05,64.0666666666667,"South",685,NA,22.9,"Male","mature",72,32.321,2004
1452,"2004-06-11 09:00:00",-15.5833333333333,64.15,"South",745,NA,13.4,"Female","pregnant",54,3.8,2004
1480,"2004-06-13 16:00:00",-13.5333333333333,65.2166666666667,"North",712,NA,8.8,"Female","immature",12,3.59,2004
1481,"2004-07-03 09:00:00",-15.8333333333333,64,"South",502,NA,6.7,"Female","immature",6,1.875,2004
1483,"2004-07-03 14:00:00",-15.6666666666667,64,"South",793,NA,17.8,"Male","mature",78,38.61,2004
1484,"2004-07-04 12:00:00",-14.9833333333333,64.2166666666667,"South",835,NA,21,"Female","pregnant",11,3.135,2004
1490,"2004-07-04 21:00:00",-16.2666666666667,63.9666666666667,"South",634,NA,8.4,"Female",NA,35,0.43,2004
1494,"2003-09-28 15:00:00",-23.9,65,"South",771,NA,29.5,"Male","mature",16,0.661,2003
1495,"2003-09-28 08:00:00",-24.0833333333333,65.125,"South",772,NA,33.1,"Male","mature",3,0.7585,2003
1496,"2003-09-26 12:00:00",-23.71,64.975,"South",750,NA,10.1,"Male","mature",28,12.735,2003
1497,"2003-09-25 07:00:00",-24.1166666666667,64.9,"South",718,NA,8.6,"Male","mature",16,3.13478947368421,2003
1498,"2003-09-22 17:00:00",-23.2333333333333,64.8,"South",603,NA,NA,"Male","pubertal",12,23.636,2003
1499,"2003-09-15 14:00:00",-22.65,64.2166666666667,"South",775,NA,13.4,"Male","mature",49,12.39,2003
1500,"2003-08-31 07:00:00",-24.2166666666667,65.0666666666667,"South",861,NA,NA,"Female","pregnant",10,9.835,2003
1501,"2003-08-30 06:00:00",-22.85,64.6,"South",692,NA,NA,"Male","pubertal",33,3.228,2003
1502,"2003-08-27 14:00:00",-22.8166666666667,63.8333333333333,"South",845,NA,28.2,"Male","mature",6,0.387,2003
1503,"2003-08-23 19:00:00",-22.7833333333333,64.3333333333333,"South",693,NA,12.3,"Male","mature",44,2,2003
1504,"2003-08-18 17:00:00",-23.9333333333333,64.9833333333333,"South",520,NA,13.3,"Male","immature",0.2,0.193,2003
1507,"2003-09-24 08:00:00",-16.25,63.95,"South",809,NA,32.8,"Male","mature",39,3.12,2003
1508,"2003-09-19 11:00:00",-21.2666666666667,63.8333333333333,"South",762,NA,24.1,"Male","mature",36,18.4636363636364,2003
1537,"2003-09-18 10:00:00",-21.9833333333333,63.8166666666667,"South",760,NA,NA,"Female","pregnant",36,8.615,2003
1539,"2003-09-08 12:00:00",-15.6166666666667,64.1666666666667,"South",810,NA,23.1,"Female","pregnant",27,12.8048780487805,2003
1540,"2003-09-09 13:00:00",-14.95,64.2,"South",840,NA,10.2,"Female",NA,NA,NA,2003
1541,"2003-09-06 09:00:00",-14.2333333333333,65.7666666666667,"North",730,NA,11.2,"Female","pregnant",2,2,2003
1542,"2003-08-28 12:00:00",-14.7833333333333,64.2666666666667,"South",778,NA,21.7,"Male","mature",68,19.2923076923077,2003
1543,"2003-09-03 17:00:00",-14.1166666666667,65.7833333333333,"North",729,NA,13.5,"Male","mature",0,1,2003
1568,"2003-08-24 10:00:00",-15.2,64.2166666666667,"South",782,NA,NA,"Female","pregnant",28,1.86326530612245,2003
1570,"2003-08-24 15:00:00",-15.6833333333333,64.15,"South",840,NA,35.6,"Female","pregnant",140,9.7,2003
1572,"2003-08-22 16:00:00",-18.8,63.3166666666667,"South",770,NA,35.5,"Male","mature",168,94,2003
1573,"2003-08-21 22:00:00",-22.1383333333333,63.8166666666667,"South",776,NA,NA,"Male","mature",60,91.88,2003
19208,"2005-07-06 11:00:00",-22.9411666666667,64.0538333333333,"South",777,NA,21.5,"Male","mature",3.2,4.237,2005
19209,"2005-07-19 07:00:00",-16.4456666666667,63.769,"South",802,NA,35.5,"Male","mature",10,2.1,2005
19210,"2005-07-19 10:00:00",-16.4223333333333,63.7663333333333,"South",727,NA,15.7,"Male","mature",0,2.4,2005
19211,"2005-07-23 16:00:00",-14.2108333333333,65.7766666666667,"North",564,NA,5.2,"Female","immature",12,3.57,2005
